Number,입력문장,BEST1,BEST2,BEST3
10,"""우리의 문화재 중 3건이 세계문화유산으로 지정되었으며, 이는 우리문화의 세계적 가치를 다시 한 번 확인하게 된 기회라고 여겨집니다. "" ","""우리의 문화재 중 3건이 세계문화유산으로 지정되었으며, 이는 우리문화의 세계적 가치를 다시 한 번 확인하게 된 기회라고 여겨집니다. "" ","""우리의 문화재 가운데 3건이 세계문화유산으로 지정되었으며, 이는 우리문화의 세계적 가치를 다시 한 번 확인하게 된 기회라고 여겨집니다. "" ","""우리의 문화재 중 3건이 세계문화유산으로 지정되었으며, 이는 우리문화의 세계적 가치를 다시 한 번 확인하게 된 기회라고 여겨집니다."" "
11,우리 문화의 가치를 세계적으로 다시 한번 확인한 계기가 된 것은 문화재 세 건이 세계문화유산으로 지정되었기 때문이라고 봅니다. ,우리 문화의 가치를 세계적으로 다시 한번 확인한 계기가 된 것은 문화재 세 건이 세계문화유산으로 지정되었기 때문이라고 봅니다. ,우리 문화의 가치를 세계적으로 다시 한번 확인한 계기가 된 것은 문화재 세 건이 세계문화유산으로 지정되었기 때문이라고 생각합니다. ,우리 문화의 가치를 세계적으로 다시 한번 확인한 계기가 된 것은 문화재 세 건이 세계문화유산으로 정되었기 때문이라고 봅니다. 
12,3대(노태우.YS.DJ정권)에 걸쳐 입법부 수장을 하는 기록을 세웠다. ,3대(노태우.YS.DJ정권)에 걸쳐 입법부 수장을 하는 기록을 세웠다. ,3대(노태우.YS.DJ정권)에 걸쳐 입법부 수장을 하는 기록을 세웠다. ,3대(노태우.YS.DJ정권)에 걸쳐 입법부 수장을 하는 기록을 수립했다
13,"""노태우 정부부터 김영삼 정부, 김대중 정부에 이르기까지 법률 제정을 담당하는 국가 기관의 대표 역할을 하는 기록을 수립했다. "" ","""노태우 정부부터 김영삼 정부, 김대중 정부에 이르기까지 법률 제정을 담당하는 국가 기관의 대표 역할을 수립했다. "" ","""노태우 정부부터 김영삼 정부, 김대중 정부에 이르기까지 법률 제정을 담당하는 국가 기관의 대표 역할을 하는 기록을 수립했다","""노태우 정부부터 김영삼 정부, 김대중 정부에 이르기까지 법률 제정을 담당하는 국가 기관의 대표 역할을 수립하였다. "" "
14,제6공화국부터 국민의 정부까지 세 정부에 걸쳐 입법부의 우두머리로 일하는 기록을 달성했다. ,제6공화국부터 국민의 정부까지 세 정부에 걸쳐 입법부의 우두머리로 일하는 기록을 달성했다. ,제6공화국부터 국민의 정부까지 세 정부에 걸쳐 입법부의 우두머리로 근무하는 기록을 달성했다. ,제6공화국부터 국민의 정부까지 세 정부에 걸쳐 입법부의 우두머리로 일하는 기록을 달성했다. 
15,"""6·25전쟁이 앞으로 몇 년 안에 '잊혀진 전쟁'이 될지 모르겠지만, 캘리포니아에서는 그렇지 않을 것이다."" ","""6·25전쟁이 앞으로 몇 년 안에 '잊혀진 전쟁'이 될지 모르겠지만, 캘리포니아에서는 그렇지 않을 것이다."" ","""6·25전쟁이 앞으로 몇 년 안에 '잊혀진 전쟁'이 될지 모르겠지만, 캘리포니아에서는 그럴 것이다."" ","""6·25전쟁이 앞으로 몇 년 안에 '잊혀진 전쟁'이 될지 모르겠지만, 캘리포니아에서는 그렇지 않을 거다."
16,"""머지않은 미래에는 한국전쟁이 잊힌 전쟁이 될 수도 있지만, 캘리포니아에서만큼은 기억해 줄 것이다."" ","""머지않은 미래에는 한국전쟁이 잊힌 전쟁이 될 수도 있지만, 캘리포니아에서만큼은 기억해 줄 것이다."" ","""머지않은 미래에는 한국전쟁이 잊힌 전쟁이 될 수도 있지만, 캘리포니아에서만큼은 기억해 줄 것이다."" ","""머잖않은 미래에는 한국전쟁이 잊힌 전쟁이 될 수도 있지만, 캘리포니아에서만큼은 기억해 줄 것이다."" "
17,"""몇 년 후에는 6.25전쟁을 망각하게 될지도 모르겠지만, 캘리포니아에서는 잊지 않을 것이다."" ","""몇 년 후에는 6.25전쟁을 망각하게 될지도 모르겠지만, 캘리포니아에서는 잊지 않을 것이다."" ","""몇 년 뒤에는 6.25전쟁을 망각하게 될지도 모르겠지만, 캘리포니아에서는 잊지 않을 것이다."" ","""몇 년 후에는 6.25전쟁을 망설하게 될지도 모르겠지만, 캘리포니아에서는 잊지 않을 것이다."" "
18,65년 한-일협정체결 당시에도 미비점들에 대한 비판이 높았다. ,65년 한-일협정체결 당시에도 미비점들에 대한 비판이 높았다. ,65년 한-일협정체결 당시에도 미비점들에 대한 비판이 높았다.,65년 한-일협정체결 때에도 미비점들에 대한 비판이 높았다. 시
19,한-일협정이 체결된 1965년 당시에도 미비점들에 대한 비판을 하는 사람이 많았다. ,한-일협정이 체결된 1965년 당시에도 미비점들에 대한 비판을 하는 사람이 많았다. ,1965년 당시에도 한-일협정이 체결된 1965년 미비점들에 대한 비판을 하는 사람이 많았다,1965년 당시에도 한-일협정이 체결된 1965년 미비점들에 대한 비판을 하는 사람이 많이 
20,한국과 일본이 협정을 체결한 1965년 당시에도 미비점들에 대한 비판이 높았다. ,한국과 일본이 협정을 체결한 1965년 당시에도 미비점들에 대한 비판이 높았다. ,한국과 일본이 협정을 체결한 1965년 당시에도 미비점들에 대한 비판이 높았다.,한국과 일본이 협정을 맺은 1965년 당시에도 미비점들에 대한 비판이 높았다. 결
21,K가 다소 격앙된 목소리로 물었다. ,K가 약간 격앙된 목소리로 물었다. ,K가 약간 격앙된 목소리로 질문했다. ,K가 약간 격앙된 목소리로 물었다.
22,약간 감정이 고조된 목소리로 K가 질문했다. ,K가 질문한 것은 약간 감정이 고조된 목소리였다. ,K가 질문한 것은 약간 감정이 고조된 목소리다. ,K가 질문한 것은 약간 감정이 고조된 목소리였다.
23,질문하는 K의 목소리는 다소간 격앙되어 있었다. ,질문하는 K의 목소리는 조금 격앙되어 있었다. ,질문하는 K의 목소리는 다소간 격앙되어 ,질문을 하는 K의 목소리는 조금 격앙되어 있었다. 
24,K가 밥을 떠 입으로 가져가는 동안 그가 말했다. ,K가 밥을 떠 입으로 가져가는 동안 그가 말했다. ,K가 밥을 떠 입으로 가져가는 사이에 그가 말했다. ,K가 밥을 떠 입으로 가져가는 동안 그가 말하였다
25,"""그가 말을 시작했을 때, K는 밥을 입에 떠넣는 중이었다."" ","""그가 말을 시작했을 때, K는 밥을 입에 떠넣는 중이었다."" ","""그가 말을 시작했을 때, K는 밥을 입에 떠넣는 중이었다."" ","""그가 말을 시작했을 때, K는 밥을 입에 떠넣는 중이었다."" "
26,K가 숟가락에 밥을 떠서 입에 넣는 동안 그가 이야기를 했다. ,K가 숟가락에 밥을 떠서 입에 넣는 동안 그가 이야기를 했다. ,K가 숟가락에 밥을 떠서 입에 넣는 동안 그가 말을 했다. ,K가 숟가락에 밥을 떠서 입에 넣는 동안 그가 이야기했다. 
27,K가 여기까지 말했을 때서야 그 쇠약한 오십대의 남자는 입을 열었다. ,K가 여기까지 말했을 때서야 그 쇠약한 오십대의 남자는 입을 열었다. ,여기까지 K가 말했을 때서야 그 쇠약한 오십대의 남자는 입을 열었다. ,K가 여기까지 말했을 때서야 그 쇠약한 오십대의 남자는 입을 열었다.
28,K의 이야기가 이만큼 진척되자 드디어 힘이 쇠해서 약해 보이는 50대의 그 남자가 입을 뗐다. ,K의 이야기가 이만큼 진척되자 드디어 힘이 쇠해서 약해 보이는 50대의 그 남자가 입을 뗐다. ,K의 이야기가 이만큼 진척되자 드디어 힘이 쇠해서 약해 보이는 50대의 그 남자가 입을 뗐다. ,K의 이야기가 이만큼 진척되자 드디어 힘이 쇠해서 약해 보이는 50대의 그 남자가 입을 뗐다.
29,K의 말이 여기까지 다다르자 그 오십대의 쇠약한 사내가 말을 시작했다. ,K의 말이 여기까지 다다르자 그 오십대의 쇠약한 사내가 말을 시작했다. ,K의 말이 여기까지 다다르자 그 오십대의 쇠약한 사내가 말을 시작했다.,K의 말이 여기까지 다다르자 그 50대의 쇠약한 사내가 말을 시작했다. 십
30,K가 이렇게 말하자 금테 안경의 사내는 얼굴이 벌겋게 달아올라 있었다. ,K가 이렇게 말하자 금테 안경의 사내는 얼굴이 벌겋게 달아올라 있었다. ,K가 이렇게 말하자 금테 안경의 사내는 얼굴이 벌겋게 달아올라 있었다. ,K가 이렇게 말하자 금테 안경의 사내는 얼굴이 벌겋게 달아올라 있었다.
31,금빛 테두리의 안경을 쓴 남성의 얼굴이 붉게 달아오는 것은 K가 한 말 때문이었다. ,K가 한 말 때문에 금빛 테두리의 안경을 쓴 남성의 얼굴이 붉게 달아올랐다. ,K가 한 말에 금빛 테두리의 안경을 쓴 남성의 얼굴이 붉게 달아올랐다. ,K가 한 말에 금빛 테두리의 안경을 쓴 남성의 얼굴이 붉게 달아오는 것이다
32,금테 안경을 쓴 남자의 얼굴이 벌겋게 달아올랐던 것은 K가 이렇게 말을 했기 때문이었다. ,K가 이렇게 말을 했기 때문에 금테 안경을 쓴 남자의 얼굴이 벌겋게 달아올랐다. ,K가 이렇게 말을 했기 때문에 금테 안경을 쓴 남자의 얼굴이 벌겋게 달아올렸다,K가 이렇게 말을 했기 때문에 금테 안경을 쓴 남자의 얼굴이 벌겋게 달아올랐
33,K가 이렇게 말하자 다시 그 젊은 부인이 다급하게 끼여들어 말했다. ,K가 이렇게 말하자 다시 그 젊은 부인이 다급하게 끼여들어 말했다. ,이렇게 말하자 K가 다시 그 젊은 부인이 다급하게 끼여들어 말했다. ,K가 이렇게 말하자 또 그 젊은 부인이 다급하게 끼여들어 말했다. 
34,나이가 많지 않은 그 부인이 다시금 몹시 급하게 끼어든 건 K의 이런 발언 때문이었다. ,K의 이런 말은 나이가 많지 않은 그 부인이 다시금 몹시 급하게 끼어들었다. ,K의 이런 발언 때문에 나이가 많지 않은 그 부인이 다시금 몹시 급하게 끼어들었다. ,K의 이런 말은 나이가 많지 않은 그 부인이 다시금 몹시 급하게 끼어든 것이다
35,그 젊은 부인이 다시 다급하게 비집고 들어와 말을 한 건 K의 이런 말이 있고 나서였다. ,K의 이런 말은 그 젊은 부인이 다시 다급하게 비집고 들어와 말을 했다. ,K의 이런 말이 있고 난 것은 그 젊은 부인이 다시 다급하게 비집고 들어와 말,K의 이런 말이 있고 난 것은 그 젊은 부인이 다시 다급하게 비집고 들어와 말을 
36,K가 이렇게 말하자 상대는 아무 표정 없는 눈으로 K를 잠시 올려다보았다. ,K가 이렇게 말하자 상대는 아무 표정 없는 눈으로 K를 잠시 올려다보았다. ,K가 이렇게 말하자 상대는 아무 표정 없는 눈으로 K를 잠깐 올려다보았다,K가 이렇게 말하자 상대는 아무 표정 없는 눈으로 K를 잠시 올려다보았다. 
37,K의 이런 발언이 끝나자 상대편은 잠깐 동안 K를 무표정한 시선으로 치어다보았다. ,K의 이런 발언이 끝나자 상대편은 잠깐 동안 K를 무표정한 시선으로 치어다보았다. ,K의 이러한 발언이 끝나자 상대편은 잠깐 동안 K를 무표정한 시선으로 치어다보았다. ,K의 이런 발언이 끝나자 상대편은 잠깐 동안 K를 무표정한 시선으로 치어다보았다.
38,상대방이 K를 아무런 감정 없는 눈길로 올려다본 건 K가 이렇게 이야기를 마쳤을 때였다. ,상대방이 K를 아무런 감정 없는 눈길로 올려다본 건 K가 이렇게 이야기를 마쳤을 때였다. ,상대방이 K가 아무런 감정 없는 눈길로 올려다본 건 K가 이렇게 이야기를 마쳤을 때였다. ,상대방이 K를 아무런 감정 없는 눈길로 올려다본 것은 K가 이렇게 이야기를 마쳤을 때였다. 
39,K가 이렇게 말하자 상대는 어처구니가 없어하는 얼굴이 되었다. ,K가 이렇게 말하자 상대는 어처구니가 없어하는 얼굴이 되었다. ,K가 이렇게 말을 하자 상대는 어처구니가 없어하는 얼굴이 되었다. ,K가 이렇게 말하자 상대는 어처구니가 없어하는 얼굴이 되었다.
40,"""K가 이렇게 발언을 마치자, 상대편은 너무 뜻밖이어서 기가 막히다는 표정을 지었다."" ","""K가 이렇게 발언을 마치자, 상대편은 너무 뜻밖이어서 기가 막히다는 표정을 지었다."" ","""K가 이렇게 발언을 마치자, 상대편은 너무 뜻밖이어서 기가 막히다는 표정을 지었다."" ","""K가 이렇게 발언을 마치자, 상대편은 너무나 뜻밖이어서 기가 막히다는 표정을 지었다"
41,상대편이 어처구니가 없다는 듯한 표정이 된 것은 K의 이런 말 때문이었다. ,K의 이런 말은 상대편이 어처구니가 없다는 듯한 표정이 되었다. ,K의 이런 말은 상대편이 어처구니가 없다는 듯한 표정이 된 것이다,K의 이런 말 때문에 상대편이 어처구니가 없다는 듯한 표정이 되었다. 
42,K가 이렇게 말하자 이제 얼굴을 드러낸 그 깡마른 총무부장은 어처구니가 없다는 듯이 말했다. ,K가 이렇게 말하자 이제 얼굴을 드러낸 그 깡마른 총무부장은 어처구니가 없다는 듯이 말했다. ,K가 이렇게 말하자 이제 얼굴을 드러낸 그 깡마른 총무부장은 어처구니가 없다는 듯이 말했다. ,이렇게 말하자 K가 이제 얼굴을 드러낸 그 깡마른 총무부장은 어처구니가 없다는 듯이 말했다. 
43,K가 이렇게 발언하자 총무부의 대표는 얼굴을 드러내고 수척한 얼굴로 당황스러움을 표했다. ,K가 이렇게 발언하자 총무부의 대표는 얼굴을 드러내고 수척한 얼굴로 당황스러움을 표했다. ,K가 이렇게 말을 하자 총무부의 대표는 얼굴을 드러내고 수척한 얼굴로 당황스러움을 표했다. ,K가 이렇게 발언하자 총무부의 대표는 얼굴을 드러내고 수척한 얼굴로 당황스러움을 표했다. 
44,"""이제까지 가만히 있던 총무부의 대표가 야윈 몸으로 기가 막히다는 듯 목소리를 낸 건, K의 이런 발언 직후였다."" ","""이제까지 가만히 있던 총무부의 대표가 야윈 몸으로 기가 막히다는 듯 목소리를 낸 건, K의 이런 발언 직후였다."" ","""이제까지 가만히 있던 총무부의 대표가 야윈 몸으로 기가 막히다는 듯 목소리를 낸 건, K의 이런 발언 직후였다. "" ","""이제까지 가만히 있던 총무부의 대표가 야윈 몸으로 기가 막히다는 듯 목소리를 낸 건, K의 이런 발언 직후였다./"
45,K가 이렇게 말하자 키가 작은 대머리의 남자는 펄쩍 뛰다시피 하며 말했다. ,K가 이렇게 말하자 키가 작은 대머리의 남자는 펄쩍 뛰다시피 하며 말했다. ,이렇게 말하자 K가 키가 작은 대머리의 남자는 펄쩍 뛰다시피 하며 말했다. ,K가 이렇게 말하자 키가 작은 대머리의 남자는 펄쩍 뛰다시피 하며 말했다. 
46,K가 이렇게 진술하자 땅딸막하고 머리털이 벗어진 남성이 분하다는 듯이 반박했다. ,K가 이렇게 진술하자 땅딸막하고 머리털이 벗어진 남성이 분하다는 듯이 반박했다. ,이렇게 진술하자 K가 땅딸막하고 머리털이 벗어진 남성이 분하다는 듯이 반박했다. ,K가 이렇게 진술하자 땅딸막하고 머리털이 벗어진 남성이 분하다는 듯이 반박했다.
47,키 작은 대머리 남성은 완강히 부인했는데 이는 K의 이러한 발언 때문이었다. ,K의 이러한 발언 때문에 키 작은 대머리 남성은 완강히 부인했다. ,K의 이런 발언 때문에 키 작은 대머리 남성은 완강히 부인했다. ,K의 이러한 발언 때문에 키 작은 대머리 남성은 완강하게 부인했다. 
48,K가 이렇게 말하자 흰 가운의 사내는 믿어지지 않는다는 표정으로 말했다. ,K가 이렇게 말하자 흰 가운의 사내는 믿어지지 않는다는 표정으로 말했다. ,이렇게 말하자 K가 흰 가운의 사내는 믿어지지 않는다는 표정으로 말했다. ,K가 이렇게 말하자 하얀 가운의 사내는 믿어지지 않는다는 표정으로 말했다
49,K가 이렇게 진술하자 흰색 웃옷을 입은 남성이 받아들일 수 없다는 듯이 이야기를 꺼냈다. ,K가 이렇게 진술하자 흰색 웃옷을 입은 남성이 받아들일 수 없다는 듯이 이야기를 꺼냈다. ,K가 이렇게 진술하자 백색 웃옷을 입은 남성이 받아들일 수 없다는 듯이 이야기를 꺼냈다. ,K가 이렇게 진술하자 흰색 웃옷을 입은 남성이 받아들일 수 없다는 듯이 이야기를 꺼냈다.
50,"""하얀 웃옷을 입은 사나이는 못 믿겠다는 듯 자신의 의견을 이야기했는데, 이는 K의 이러한 진술이 끝났을 때였다."" ","""K의 이러한 진술이 끝났을 때, 하얀 웃옷을 입은 사나이는 못 믿겠다는 듯 자신의 의견을 이야기했는데, 이는 못 믿겠다는 듯 말했다."" ","""K의 이러한 진술이 끝났을 때, 하얀 웃옷을 입은 사나이는 못 믿겠다는 듯 자신의 의견을 이야기했는데, 이는 못 믿겠다는 듯 이야기했다.","""K의 이러한 진술이 끝났을 때, 하얀 웃옷을 입은 사나이는 못 믿겠다는 듯 자신의 의견을 이야기했는데, 이는 못 믿겠다는 듯 이야기했다. "
51,K가 이렇게 말했을 때 그 키가 작은 젊은 남자가 다급하게 끼어들었다. ,K가 이렇게 말했을 때 그 키가 작은 젊은 남자가 다급하게 끼어들었다. ,이렇게 말했을 때 K가 그 키가 작은 젊은 남자가 다급하게 끼어들었다. ,K가 이렇게 얘기했을 때 그 키가 작은 젊은 남자가 다급하게 끼어들었다. 
52,K의 이러한 진술은 젊고 자그마한 남성을 급하게 개입하도록 만들었다. ,K의 이러한 진술은 젊고 자그마한 남성을 급하게 개입하도록 만들었다. ,K의 이런 진술은 젊고 자그마한 남성을 급하게 개입하도록 만들었다. ,K의 이러한 진술은 젊고 자그마한 남성을 급하게 개입하도록 했다. 
53,"""조그마한 젊은 사내는 급하게 사이를 비집고 들어온 건, K가 이러한 말을 마친 직후였다."" ",K가 이러한 말을 마친 후 조그마한 젊은 사내는 급하게 사이를 비집고 들어왔다. ,"""K가 이러한 말을 마친 뒤, 조그마한 젊은 사내는 급하게 사이를 비집고 들어",K가 이러한 말을 마친 후 조그마한 젊은 사내는 급히 사이를 비집고 들어왔다. 
54,K가 이렇게 소리치자 그 키가 크고 덩치가 좋은 사내는 다소 다급한 목소리로 말했다. ,K가 이렇게 소리치자 그 키가 크고 덩치가 좋은 사내는 다소 다급한 목소리로 말했다. ,K가 이렇게 소리치자 그 키가 크고 덩치가 좋은 사내는 약간 다급한 목소리로 말했다,K가 이처럼 소리치자 그 키가 크고 덩치가 좋은 사내는 다소 다급한 목소리로 말했다. 
55,K가 이렇게 큰소리로 외치자 풍채 좋은 사내는 다소간 긴박하게 말을 꺼냈다. ,K가 이렇게 큰소리로 외치자 풍채 좋은 사내는 다소간 긴박하게 말을 꺼냈다. ,K가 이렇게 큰소리로 외치자 풍채 좋은 사내는 다소간 긴박하게 말을 꺼냈다. ,K가 이렇게 큰소리로 외치자 풍채 좋은 사내는 다소간 긴박하게 말을 꺼냈다. 
56,K가 이렇게 큰소리치자 헌칠한 사내는 조금도 여유 없이 급하게 이야기를 거냈다. ,K가 이렇게 큰소리치자 헌칠한 사내는 조금도 여유 없이 급하게 이야기를 거냈다. ,K가 이렇게 큰소리치자 헌칠한 사내는 조금도 여유 없이 급하게 이야기를 거냈다. ,K가 이렇게 큰소리치자 헌칠한 사내는 조금도 여유 없이 급히 이야기를 거냈다. 
57,K가 이렇게 웅얼거리자 그녀는 몹시 슬픔에 찬 표정으로 K의 말을 가로막으며 다급하게 말했다. ,K가 이렇게 웅얼거리자 그녀는 몹시 슬픔에 찬 표정으로 K의 말을 가로막으며 다급하게 말했다. ,K가 이렇게 웅얼거리자 그녀는 몹시 슬픔에 찬 표정으로 K의 말을 가로막으며 다급하게 말했다. ,K가 이렇게 웅얼거리자 그녀는 몹시 슬픔에 찬 표정으로 K의 말을 가로막으며 다급하게 말했다.
58,K가 이렇게 우물거리자 여자는 애절한 기색을 내비치며 K의 말에 끼어들며 재빨리 자신의 이야기를 털어놨다. ,K가 이렇게 우물거리자 여자는 애절한 기색을 내비치며 K의 말에 끼어들며 재빨리 자신의 이야기를 털어놨다. ,K가 이렇게 우물거리면서 여자는 애절한 기색을 내비치며 K의 말에 끼어들며 재빨리 자신의 이야기를 털어놨다. ,K가 이렇게 우물거리자 여자는 애절한 기색을 내비치며 K의 말에 끼어들며 재빠르게 자신의 이야기를 털어놨다
59,"""그녀는 애통하다는 듯한 표정으로 말을 자르며 재빨리 속내를 말했고, 이는 K가 이렇게 웅얼거렸기 때문이었다."" ",K가 이렇게 웅얼거렸기 때문에 그녀는 애통하다는 듯한 표정으로 말을 자르며 재빨리 속내를 말했고. ,"""K가 이렇게 웅얼거렸기 때문에 그녀는 애통하다는 듯한 표정으로 말을 자르며 재빨리 속내를 말했고","""K가 이렇게 웅얼거렸는데, 그녀는 애통하다는 듯한 표정으로 말을 자르며 재빨리 속내를 말했고"
60,K군은 얼마 뒤 내 방을 나섰다. ,얼마 뒤 K군은 내 방을 나섰다. ,얼마 뒤 K군은 내 방을 나섰다. ,K군은 얼마 뒤 내 방을 나섰다. 
61,K군은 조금 뒤 내 방 밖으로 갔다. ,조금 뒤 K군은 내 방 밖으로 갔다. ,K군은 조금 뒤 내 방 밖으로 갔다. ,조금 뒤 K군은 내 방 밖으로 향했다
62,얼마 후 K군은 내 방에서 나갔다. ,얼마 뒤 K군은 내 방에서 나갔다. ,얼마 후 K군은 내 방에서 나갔다. ,얼마 뒤 K군은 나의 방에서 나갔다. 
63,K군은 학생으로 있을 때 어떤 독서 클럽에 가담하고 있었다. ,K군은 학생으로 있을 때 어떤 독서 클럽에 가담하고 있었다. ,K군이 학생으로 있을 때 어떤 독서 클럽에 가담하고 있었다. ,K군은 학생으로 있을 때 어떤 독서 클럽에 가담하고 있었다.
64,K군은 학교에 재학할 당시 모 책읽기 단체에서 활동했었다. ,K군은 학교에 재학할 당시 모 책읽기 단체에서 활동했었다. ,K군은 학교에 재학할 때 모 책읽기 단체에서 활동했었다. ,K군은 학교에 재학할 당시 모 책읽기 단체에서 활동을 했었다. 
65,K군이 모 독서 클럽에서 활동한 것은 그가 학생 신분이었을 때다. ,K군이 모 독서 클럽에서 활동한 것은 그가 학생 신분이었을 때다. ,K군이 모 독서 클럽에서 활동한 것은 그가 학생 신분이었을 때이다. ,K군이 모 독서 클럽에서 활동한 것은 그가 학생 신분이었을 때다. 
66,K는 감았던 팔을 슬며시 풀면서 빙그레 웃었다. ,K는 감았던 팔을 슬며시 풀면서 빙그레 웃었다. ,감았던 팔을 슬며시 풀면서 K는 빙그레 웃었다. ,K는 감았던 팔을 슬며시 풀면서 빙그레 웃었다. 
67,빙 둘렀던 팔을 살포시 거두면서 K는 싱긋 웃음 지었다. ,K는 빙 둘렀던 팔을 살포시 거두면서 싱긋 웃음 지었다. ,빙 둘렀던 팔을 살포시 거두면서 K는 싱긋 웃음 지었다. ,K는 빙 둘렀던 팔을 살포시 거두며 싱긋 웃음 지었다. 
68,감았던 팔을 슬쩍 풀면서 K는 빙긋 웃었다. ,감았던 팔을 슬쩍 풀면서 K는 빙긋 웃었다. ,K는 감았던 팔을 슬쩍 풀면서 빙긋 웃었다. ,감았던 팔을 슬쩍 풀면서 K는 싱긋 웃었다. 
69,K는 곤색 잠바를 입은 남자 하나를 붙들고 물었다. ,곤색 잠바를 입은 남자 하나를 K는 붙들고 물었다. ,K는 곤색 잠바를 입은 남자 하나를 붙들고 물었다. ,K는 곤색 잠바를 입은 남자 하나를 붙들고 물어보
70,K는 감색 점퍼 입은 한 사내를 붙잡고 물어 보았다. ,K는 감색 점퍼 입은 한 사내를 붙잡고 물어 보았다. ,감색 점퍼 입은 한 사내를 K는 붙잡고 물어 보았다. ,감색 점퍼 입은 한 사내를 붙잡고 K는 물어 보았다. 
71,감색의 품이 넉넉한 서양식 웃옷을 입은 한 남성을 붙들고 K가 물었다. ,K는 감색의 품이 넉넉한 서양식 웃옷을 입은 한 남성을 붙들고 물었다. ,감색의 품이 넉넉한 서양식 웃옷을 입은 한 남성을 붙들고 K가 물었다. ,K는 감색의 품이 넉넉한 서양식 웃옷을 입은 한 남성을 붙들고 물었다.
72,K는 그 여자의 얼굴을 다시 한번 뜯어보았다. ,K는 그 여자의 얼굴을 다시 한번 뜯어보았다. ,K는 그 여자의 얼굴을 재차 뜯어보았다. ,K는 그 여자의 얼굴을 다시 한번 뜯어보셨다
73,K는 그 여성의 이목구비를 재차 훑어보았다. ,K는 그 여성의 이목구비를 다시 훑어보았다. ,K는 그 여성의 이목구비를 재차 훑어보았다,K는 그 여성의 이목구비를 다시 훑어보았다. 
74,그 여성의 낯을 되풀이해서 훑어 본 것은 K였다. ,K는 그 여성의 낯을 되풀이해서 훑어 보았다. ,K는 그 여성의 낯을 되풀이하여 훑어 보았다. ,K는 그 여성의 낯을 되풀이해서 훑어 보았다.
75,K는 그러나 그의 말에는 아무 대꾸도 하지 않고 운동화끈을 풀었다. ,K는 그렇지만 그의 말에는 아무런 대꾸도 하지 않고 운동화끈을 풀었다. ,K는 그렇지만 그의 말에는 아무런 대꾸도 하지 않고 운동화끈을 풀어버,K는 그렇지만 그의 말에는 아무런 대꾸도 하지 않고 운동화끈을 풀었다. 
