Number,입력문장,BEST1,BEST2,BEST3
149,K는 지금 담배를 꺼내어 윗니와 아랫니 사이에 끼운 채로 물어 피웠다. ,K는 지금 담배를 꺼내어 윗니와 아랫니 사이에 끼운 채로 물어 피웠다. ,지금 K는 담배를 꺼내어 윗니와 아랫니 사이에 끼운 채로 물어 피웠다. ,K는 지금 담배를 꺼내서 윗니와 아랫니 사이에 끼운 채로 물어 피웠다. 
150,K는 이제 더욱 멍청한 표정이 되어 두 사람을 멀거니 바라보고 있었다. ,K는 이제 더욱 멍청한 표정이 되어 두 사람을 멀거니 바라보고 있었다. ,K는 이제 더욱 멍청한 표정이 되어서 두 사람을 멀거니 바라보고 있었다. ,K는 이제 더욱 멍청한 표정이 되어 두 사람을 멀거니 바라보고 있었다. 
151,K는 이제 점점 바보스러운 낯빛이 되어 두 사람을 우두커니 바라보고 있었다. ,K는 이제 점점 바보스러운 얼굴빛이 되어 두 사람을 우두커니 바라보고 있었다. ,K는 이제 점차 바보스러운 얼굴빛이 되어 두 사람을 우두커니 바라보고 있었다. ,K는 이제 점점 바보스러운 낯빛이 되어 두 사람을 우두커니 바라보고 있었다. 
152,K는 이제 점점 더 멍청한 표정이 되어 두 사람을 넋이 나간듯이 바라보고 있었다. ,K는 이제 점차 더 멍청한 표정이 되어 두 사람을 넋이 나간듯이 바라보고 있었다. ,K는 이제 점점 더 멍청한 표정이 되어 두 사람을 넋이 나간듯이 바라보고 있었다. ,이제 K는 점점 더 멍청한 표정이 되어 두 사람을 넋이 나간듯이 바라보고 있었다. 
153,K는 이제 말문이 막힌 듯 아무 말 하지 못하고 있었다. ,K는 이제 말문이 막힌 듯 아무 말 하지 못하고 있었다. ,K는 이제 말문이 막힌 듯이 아무 말 하지 못하고 있었다,K는 이제 말문이 막힌 듯이 아무 말 없이 있었다. 
154,K는 이제 입이 떨어지지 않는 듯 어떤 말도 못하고 있었다. ,K는 이제 입이 떨어지지 않는 듯 어떤 말도 못하고 있었다. ,K는 이제 입이 떨어지지 않는 듯이 어떤 말도 못하고 있었다,K는 이제 입이 떨어지지 않는 듯 어떤 말도 하지 못하고 있었다
155,K는 이제 말문이 열리지 않는 듯 아무런 말도 못했다. ,K는 이제 말문이 열리지 않는 듯 아무런 말도 못했다. ,이제 말문이 열리지 않는 듯 K는 아무런 말도 못했다. ,K는 이제 말문이 열리지 않는 듯이 아무런 말도 못했다
156,K는 이제 아무 말 하지 않고 듣고만 있었다. ,K는 이제 아무 말 하지 않고 듣고만 있었다. ,K는 이제 아무 말을 하지 않고 듣고만 있었다. ,K는 이제 아무런 말 하지 않고 듣고만 있었다
157,K는 이제 아무런 말도 하지 않고 듣기만 했다. ,K는 이제 아무 말도 하지 않고 듣기만 했다. ,K는 이제 아무런 말도 하지 않고 듣기만 했다,K는 이제 아무런 말도 하지 않고 듣기만 하였다
158,K는 이제 어떤 발언도 하지 않고 경청하기만 했다. ,K는 이제 아무 발언도 하지 않고 경청하기만 했다. ,K는 이제 어떤 발언도 하지 않고 경청하기만 했다. ,K는 이제 아무 발언도 하지 않고 경청하기만 했다.
159,K는 이제 약간 짜증 섞인 목소리가 되어 다시 한번 알았다고 말했다. ,K는 이제 약간 짜증 섞인 목소리가 되어 다시 한번 알았다고 말했다. ,이제 K는 약간 짜증 섞인 목소리가 되어 다시 한번 알았다고 말했다. ,K는 이제 약간 짜증 섞인 목소리가 되어 다시 한번 알았다고 말했다.
160,K는 이제 약간 짜증이 난 듯한 목소리로 한 번 더 알았다고 말했다. ,K는 이제 약간 짜증이 난 듯한 목소리로 한 번 더 알았다고 말했다. ,이제 K는 약간 짜증이 난 듯한 목소리로 한 번 더 알았다고 말했다. ,K는 이제 약간 짜증이 난 듯한 목소리로 한 번 더 알았다고 말했다.
161,K는 이제 약간 못마땅하여 성이 난 듯한 목소리로 또 한 번 알았다고 말했다. ,K는 이제 약간 못마땅하여 성이 난 듯한 목소리로 또 한 번 알았다고 말했다. ,K는 이제 약간 못마땅하여 성이 난 듯한 목소리로 또 한 번 알았다고 말했다.,K는 이제 조금 못마땅하여 성이 난 듯한 목소리로 또 한 번 알았다고 말했다. 간 
162,K는 이해가 가지 않는다는 표정으로 그를 쳐다보고만 있었다. ,K는 이해가 가지 않는다는 표정으로 그를 쳐다보고만 있었다. ,K는 이해가 가지 않는다는 표정으로 그를 쳐다보고만 있었다. ,K는 이해가 가지 않는다는 표정으로 그를 쳐다보고만 있었다.
163,K는 이해하기 어렵다는 얼굴로 그를 쳐다보고만 있었다. ,K는 이해하기 어렵다는 얼굴로 그를 쳐다보고만 있었다. ,K는 이해하기 어렵다는 얼굴로 그를 쳐다보고만 있었다.,K는 이해하기 어렵다는 얼굴로 그를 바라보고만 있었다. 다
164,K는 그를 이해할 수 없다는 얼굴로 올려다보고만 있었다. ,K는 그를 이해할 수 없다는 얼굴로 올려다보고만 있었다. ,K는 그를 납득할 수 없다는 얼굴로 올려다보고만 있었다,K는 그를 이해할 수 없다는 얼굴로 올려다보고만 했다. 
165,가게 부인은 돈 세고 있다. ,가게 부인은 돈을 세고 있다. ,가게 부인은 돈 세고 있다. ,가게 부인은 돈을 세우고 있다. 
166,가게 부인은 화폐를 계산하고 있다. ,가게 부인은 화폐를 계산하고 있다. ,가게 부부는 화폐를 계산하고 있다,가게 부인은 화폐를 계산하는 중이다. 
167,가게 부인은 화폐의 수를 세고 있었다. ,가게 부인은 화폐의 수를 세고 있었다. ,가게 부인은 화폐의 수를 세우고 있었다. ,가게 아내는 화폐의 수를 세고 있었다. 
168,가게 여주인 냉장고에서 소주를 꺼내 주면 큰잔에 따라 마신다. ,가게 여주인 냉장고에서 소주를 꺼내 주면 큰잔에 따라 마신다. ,가게 여주인 냉장고에서 소주를 꺼내 주면 큰잔에 따라서 마신다. ,가게 여주인 냉장고에서 소주를 꺼내 주면 큰잔에 따라 마신다.
169,가게 여주인이 냉장고에서 소주를 꺼내 주면 큰 잔에 부어서 마신다. ,가게 여주인이 냉장고에서 소주를 꺼내 주면 큰 잔에 부어서 마신다. ,가게 여주인은 냉장고에서 소주를 꺼내 주면 큰 잔에 부어서 마신다. ,가게 여주인이 냉장고에서 소주를 꺼내 주면 커다란 잔에 부어서 마신
170,가게 여주인이 냉장고에서 소주를 꺼내어 주면 큰 잔에 따라서 들이켠다. ,가게 여주인이 냉장고에서 소주를 꺼내어 주면 큰 잔에 따라서 들이켠다. ,가게 여주인이 냉장고에서 소주를 꺼내어 주면 큰 잔에 따라 들이켠다. ,가게 여주인이 냉장고에서 소주를 꺼내어 주면 커다란 잔에 따라서 들이켠
171,가게 여주인이 문밖까지 따라나와 길을 가르쳐 주었다. ,가게 여주인이 문밖까지 따라나와 길을 가르쳐 주었다. ,가게 여주인이 문밖까지 따라와서 길을 가르쳐 주었다,가게 여주인이 문밖까지 쫓아나와 길을 가르쳐 주었다
172,가게 여주인이 바깥까지 쫓아나와 길을 알려주었다. ,가게 여주인이 바깥까지 쫓아나와 길을 알려주었다. ,가게 여주인이 바깥까지 쫓아서 길을 알려주었다,가게 여주인이 바깥까지 쫓아서 길을 알려주셨
173,문밖까지 따라나와 경로를 알려준 것은 가게 여주인이었다. ,가게 여주인이 문밖까지 따라나와 경로를 알려줬다. ,가게 여주인은 문밖까지 따라나와 경로를 알려줬다. ,가게 여주인이 문밖까지 따라나와 경로를 알려준 것이다
174,"""가게 주인들은 그렇게 나와 있는 개들에게 물을 뿌려 씻기고, 대소변도 길에서 보게 한다."" ","""가게 주인들은 그렇게 나와 있는 개들에게 물을 뿌려 씻기고, 대소변도 길에서 보게 한다."" ","""가게 주인들은 그렇게 나와 있는 개들에게 물을 뿌려 씻기고, 대소변도 길에서 보게 된다."" ","""그렇게 나와 있는 개들에게 물을 뿌려 씻기고, 대소변도 길에서 보게 하는 것은 가게 주인들이다"
175,가겟집 주인들은 그렇게 나와 있는 개들에게 물을 끼얹어 씻기고 길에서 대소변도 보게 한다. ,가겟집 주인들은 그렇게 나와 있는 개들에게 물을 끼얹어 씻기고 길에서 대소변도 보게 한다. ,가겟집 주인들은 그렇게 나와 있는 개들에게 물을 끼얹어 씻고 길에서 대소변도 보게 한다. ,가겟집 주인들은 그렇게 나와 있는 개들에게 물을 끼얹어 씻기고 길에서 대소변도 보게 된다. 
176,"""점주들은 물을 뿌려 그렇게 나와 있는 개들을 씻기고, 길에서 똥과 오줌도 누게 한다. "" ","""점주들은 물을 뿌려 그렇게 나와 있는 개들을 씻기고, 길에서 똥과 오줌도 누게 한다. "" ","""점주들은 물을 뿌려 그렇게 나와 있는 개들을 씻기고, 길에서 똥과 오줌도 누게 한다. "" ","""점주들은 물을 뿌려서 그렇게 나와 있는 개들을 씻기고, 길에서 똥과 오줌도 누게 한다. "
177,가게 주인에게 어디서 온 다래냐고 물었더니 인근 산에서 아낙네들이 거두어온 것이라고 한다. ,가게 주인에게 어디서 온 다래냐고 물었더니 인근 산에서 아낙네들이 거두어온 것이라고 한다. ,가게 주인에게 어디서 온 다래냐고 물었더니 근처 산에서 아낙네들이 거두어온 것이라고 한다,가게 주인에게 어디서 온 다래냐고 물었더니 인근 산에서 아낙네들이 거두어온 것이라고 한다. 
178,가게 주인에게 어디에서 가져온 다래냐고 질문했더니 아낙네들이 근처 산에서 캐온 것이라고 한다. ,가게 주인에게 어디에서 가져온 다래냐고 질문했더니 아낙네들이 근처 산에서 캐온 것이라고 한다. ,가게 주인에게 어디에서 가져온 다래냐고 물었더니 아낙네들이 근처 산에서 캐온 것이라고 한다. ,가게 주인에게 어디에서 가져온 다래냐고 질문했더니 아낙네들이 근방에서 산에서 캐온 것이라고 한다
179,"""가게 주인은 어디서 가져온 다래인지 묻는 나의 질문에, 아낙네들이 인근 산에서 캐온 것이라고 답변했다. "" ","""가게 주인은 어디서 가져온 다래인지 묻는 나의 질문에, 아낙네들이 인근 산에서 캐온 것이라고 답변했다. "" ","""가게 주인은 어디서 가져온 다래인지 묻는 내 질문에, 아낙네들이 인근 산에서 캐온 것이라고 답변했다. "" ","""가게 주인은 어디서 가져온 다래인지 묻는 나의 질문에, 아낙네들이 근처 산에서 캐온 것이라고 답변했다. "
180,"""가게에 잠깐 들어온 20대 손님에게 """"이렇게 튀는 옷을 어디에 입고 가냐""""고 물었다."" ","""가게에 잠깐 들어온 20대 손님에게 """"이렇게 튀는 옷을 어디에 입고 가냐""""고 물었다."" ","""가게에 잠깐 들어온 20대 손님에게 """"이렇게 튀는 옷을 어디에 입고 가냐""""고 질문했다."" ","""가게에 잠깐 들어온 20대 손님에게 """"이렇게 튀는 옷을 어디에 입고 가냐""""고 물었다./"
181,"""가게에 잠시 방문한 20대 손님에게 """"이렇게 눈에 띄는 옷을 입고 어디에 가느냐""""고 물었다. "" ","""가게에 잠시 방문한 20대 손님에게 """"이렇게 눈에 띄는 옷을 입고 어디에 가느냐""""고 물었다. "" ","""가게에 잠깐 방문한 20대 손님에게 """"이렇게 눈에 띄는 옷을 입고 어디에 가느냐""""고 물었다. ","""가게에 잠깐 방문한 20대 손님에게 """"이렇게 눈에 띄는 옷을 입고 어디에 가느냐""""고 질문했다. "
182,"""가게에 잠시 들어온 20대 손님에게 """"이렇게 튀어 보이는 옷을 입고 어디로 가냐""""고 질문했다. "" ","""가게에 잠시 들어온 20대 손님에게 """"이렇게 튀어 보이는 옷을 입고 어디로 가냐""""고 물었다. "" ","""가게에 잠시 들어온 20대 손님에게 """"이렇게 튀어 보이는 옷을 입고 어디로 가냐""""고 질문했다. "" ","""가게에 잠깐 들어온 20대 손님에게 """"이렇게 튀어 보이는 옷을 입고 어디로 가냐""""고 물었다. "
183,가게의 주인이 된 옛친구들 중에는 벌써 손자를 보아 할머니가 된 사람들이 여럿이다. ,가게의 주인이 된 옛친구들 중에는 이미 손자를 보아 할머니가 된 사람들이 여럿이다. ,가게의 주인이 된 옛친구들 중에는 벌써 손자를 보아 할머니가 된 사람들이 여럿이다,가게의 주인이 된 옛친구들 중에는 벌써 손자를 보아 할머니가 된 사람들이 여럿다
184,가게의 주인이 된 옛친구들 가운데에는 이미 손자를 두어 할머니가 된 이들이 여럿이다. ,가게의 주인이 된 옛친구들 가운데에는 이미 손자를 두어 할머니가 된 이들이 여럿이다. ,가게의 주인이 된 옛친구들 가운데에는 벌써 손자를 두어 할머니가 된 이들이 여럿이다,가게의 주인이 된 옛친구들 가운데에는 벌써 손자를 두어 할머니가 된 이들이 여럿다
185,가게의 주인이 된 옛친구들 중에서는 이미 손자를 보아 할머니로 불리는 사람들이 여럿이다. ,가게의 주인이 된 옛친구들 중에서는 이미 손자를 보아 할머니로 불리는 사람들이 여럿이다. ,가게의 주인이 된 옛친구들 중에서는 이미 손자를 보아 할머니로 불리는 사람들이 여럿이다. ,가게의 주인이 된 옛친구들 가운데에서는 이미 손자를 보아 할머니로 불리는 사람들이 여럿이다
186,가공 식품들은 이렇게 가정과 개인 그리고 향토와 개인의 관계를 떼어놓고 있다. ,가공 식품들은 이렇게 가정과 개인 그리고 향토와 개인의 관계를 떼어놓고 있다. ,이렇게 가정과 개인 그리고 향토와 개인의 관계를 떼어놓고 있는 것은 가공 식품들,가공 식품들은 이렇게 가정과 개인의 그리고 향토와 개인의 관계를 떼어놓고 있다. 
187,"""가공 식품들은 이렇게 가정과 개인, 또한 향토와 개인의 관계를 떨어뜨려 놓고 있다. "" ","""가공 식품들은 이렇게 가정과 개인, 또한 향토와 개인의 관계를 떨어뜨려 놓고 있다. "" ","""가공 식품들은 이렇게 가정과 개인, 그리고 향토와 개인의 관계를 떨어뜨려 놓고 있다. "" ","""가공 식품들은 이렇게 가정과 개인, 또한 향토와 개인의 관계를 떨어뜨려 두고 있다. "" "
188,"""가공 식품들은 이렇게 가정과 개인, 그리고 땅과 개인의 연관성을 떼어놓고 있다. "" ","""가공 식품들은 이렇게 가정과 개인, 그리고 땅과 개인의 연관성을 떼어놓고 있다. "" ","""가공 식품들이 이렇게 가정과 개인, 그리고 땅과 개인의 연관성을 떼어놓고 있다. "" ","""가공 식품들은 이렇게 가정과 개인, 그리고 땅과 개인의 연관성을 떼어놓고 있다."" "
189,가구는 끝 부분이 둥글게 처리된 제품을 선택하는 것이 바람직하다. ,가구는 끝 부분이 둥글게 처리된 제품을 선택하는 것이 바람직하다. ,가구는 끝 부분이 둥글게 처리된 제품을 택하는 것이 바람직하다. ,가구는 끝 부분이 둥글게 처리된 제품을 선택하는 것이 바람직하다. 
190,가구는 끝 부분이 둥그스름하게 처리된 제품을 고르는 것이 현명하다. ,가구는 끝 부분이 둥그스름하게 처리된 제품을 고르는 것이 현명하다. ,가구는 끝 부분이 둥그스름하게 처리된 제품을 선택하는 것이 현명하다. ,가구는 끝 부분이 둥그스름하게 처리된 제품을 고르는 것이 현명하다. 
191,끝 부분이 둥글게 처리된 가구를 선택하는 것이 바람직하다. ,끝 부분이 둥글게 처리된 가구를 선택하는 것이 바람직하다. ,끝 부분이 둥글게 처리된 가구를 택하는 것이 바람직하다. ,끝 부분이 둥글게 처리된 가구를 선택하는 것이 바람직하다. 
192,가구의 색상은 파스텔톤이나 나무색을 살린 원목 계열이 시각적으로 튀지 않으면서 자연스런 분위기를 낸다. ,가구의 색상은 파스텔톤이나 나무색을 살린 원목 계열이 시각적으로 튀지 않으면서 자연스런 분위기를 낸다. ,가구의 색깔은 파스텔톤이나 나무색을 살린 원목 계열이 시각적으로 튀지 않으면서 자연스런 분위기를 낸다,가구의 색깔은 파스텔톤이나 나무색을 살린 원목 계열이 시각적으로 튀지 않으면서 자연스런 분위기를 낸다
193,가구의 색상은 연하고 부드러운 파스텔 색조나 나무색을 살린 원목 계열이 시각적으로 튀지 않고 부자연스러운 분위기도 없다. ,가구의 색상은 연하고 부드러운 파스텔 색조나 나무색을 살린 원목 계열이 시각적으로 튀지 않고 부자연스러운 분위기도 없다. ,가구 색상은 연하고 부드러운 파스텔 색조나 나무색을 살린 원목 계열이 시각적으로 튀지 않고 부자연스러운 분위기도 없다. ,가구의 색깔은 연하고 부드러운 파스텔 색조나 나무색을 살린 원목 계열이 시각적으로 튀지 않고 부자연스러운 분위기도 없다
194,시각적으로 튀지 않으면서도 자연스러운 분위기를 내려면 파스텔톤이나 원목 계열의 가구가 좋다. ,시각적으로 튀지 않으면서도 자연스러운 분위기를 내려면 파스텔톤이나 원목 계열의 가구가 좋다. ,시각적으로 튀지 않으면서도 자연스러운 분위기를 내려면 파스텔톤이나 원목 계열의 가구를 좋다. ,파스텔톤이나 원목 계열의 가구는 시각적으로 튀지 않으면서도 자연스러운 분위기를 내려면 좋다. 
195,가까스로 다리를 지탱하고 서 있는 넷의 얼굴이 점점 백지장처럼 하얘진다. ,가까스로 다리를 지탱하고 서 있는 넷의 얼굴이 점점 백지장처럼 하얘진다. ,가까스로 다리를 지탱하고 서 있는 넷의 얼굴이 점차 백지장처럼 하얘진다. ,가까스로 다리를 지탱하고 서 있는 넷의 얼굴이 점점 백지장처럼 하얘진다.
196,간신히 다리를 버티고 서 있는 넷의 얼굴이 갈수록 핏기가 없이 창백해졌다. ,간신히 다리를 버티고 서 있는 넷의 얼굴이 갈수록 핏기가 없이 창백해졌다. ,간신히 다리를 버티고 서 있는 넷의 얼굴이 점점 핏기가 없이 창백해졌다. ,간신히 다리를 버티고 서 있는 넷의 얼굴이 갈수록 핏기가 없이 창백해졌다.
197,간신히 다리를 버티고 서 있는 넷의 얼굴이 갈수록 핏기가 없이 하얘졌다. ,간신히 다리를 버티고 서 있는 넷의 얼굴이 갈수록 핏기가 없이 하얘졌다. ,간신히 다리를 버티고 서 있는 넷의 얼굴이 점점 핏기가 없이 하얘졌다. ,간신히 다리를 버티고 서 있는 넷의 얼굴이 갈수록 핏기가 없이 하얘졌다.
198,가까스로 메뉴가 결정되면 음식집을 향해 발걸음을 옮긴다. ,메뉴가 가까스로 결정되면 음식집을 향해 발걸음을 옮긴다. ,가까스로 메뉴가 결정되면 음식집을 향해 발걸음을 옮긴다. ,가까스로 메뉴가 정해지면 음식집을 향해 발걸음을 옮긴
